genesymbols	EXM	Prim	CTB
ATXN1	951.958330820142	48.4270368615073	236.948488899365
AURKB	491.093813896767	73.2091494551629	1993.64038830495
AVPI1	143.037347310223	1923.19073573877	705.087595512845
AXL	1772.68565553173	29.4984678058298	424.811778844805
B4GALNT3	26.2209972896893	286.636322800529	144.227042026892
BACE1	959.425423835639	15.5135401724962	175.909750795052
BACH1	3204.00650205958	989.846105560179	1862.15155680873
BAIAP2	350.733591411674	2197.50350226634	1438.06083448741
BAMBI	5661.84960427978	117.58659438709	518.970893000759
BCAM	1995.13943396443	651.524481068524	8436.37217226451
BCL2L1	968.449863481708	2112.58655027151	1206.41376768703
BCORL1	300.651076173602	1223.50780433875	595.267155609592
BGN	86.3426425877565	3501.12840972564	235.488365491338
BHLHE41	76.2497055360231	38.4308143105655	437.41315540248
BLVRB	752.681854315604	280.360624487273	3050.25116747873
BMF	1129.48094213942	64.586876530658	781.382282016316
BNC1	480.325760320989	13.4515344566345	109.988031577512
BTBD3	1671.23615735927	84.1513157329601	792.453249771067
BTG1	1375.80148842622	5383.85837560146	5288.62906952861
BUB1	352.132555367158	42.2146280696788	1392.27099768544
C10orf95	17.0780169999076	736.393077876889	88.7388733230964
C1orf115	253.355916799343	1113.73399401332	850.238548609023
C1orf21	2867.54478831089	799.112563713577	1598.47146536729
C2orf72	115.075879317799	2191.42184380621	2310.07667421778
C4orf47	29.5202392211704	5.48308294924271	513.307760246036
C6orf132	72.3816433623177	72.4141036162202	463.681856656277
CA12	95.9170917937568	55.9370561484426	1440.22160076144
CA3	4326.52537807045	38.2424856112034	356.516867649798
CACNG4	1133.5614230942	18.2025205004293	80.6089531813383
CADM1	1289.31754835609	22.682935474956	79.589097527245
CAMK1G	760.78680263412	26.842344675598	58.6059321613534
CAPN2	4442.63333489382	115.476054673487	1278.93222879648
CASZ1	12.3154556510621	350.480377150787	20.911691160401
CAV1	100.746938585657	179.311805440707	4289.71394463829
CAVIN1	122.295550021981	45.1833828641426	467.420056440535
CBLB	1204.34336685238	4868.51001898304	2267.76006606046
CBLC	77.070665764182	75.2218043368483	1320.85756444159
CBR1	205.700455183885	65.7823423353859	768.448169781351
CCDC141	4.11235305990529	25.1768082806938	615.421793142766
CCDC183	2612.07537755592	113.749702507543	1970.04681749947
CCDC69	1271.65659669889	148.798626642689	568.341333628089
CCN2	124.445842750735	45.3674919911866	537.594675225689
CCND2	2413.21700795461	47.9014824752329	420.138329827855
CCNE1	1039.40974926301	7614.02141632842	6963.66790865971
CCNF	225.141282150554	108.154405371849	814.978493988675
CCR7	194.370134533433	6078.13010014489	1857.19348101057
CCSER1	229.751733157187	171.035285286691	1495.31869523073
CD274	17.8665175288771	1277.65684782084	320.715896684564
CD300A	2216.86423860549	21.746961887121	282.919306992324
CD55	133.63401122009	2241.24640090675	1755.20392826374
CD74	1446.15993441046	167.604614969686	302.954418663727
CD82	848.471979698734	16.5624193911437	80.3913293261145
CD9	11189.4786494357	748.814332657006	4405.54473010362
CDC20	242.432412498724	55.0474493918407	785.444258197874
CDC25A	44.1715784918636	14.5534587713819	277.128261891008
CDC6	109.44616299492	1077.95380002591	599.212671413353
CDCA2	156.90915326148	28.1901907738995	667.895894578002
CDCA3	113.261412480669	64.5448864438345	709.558645668503
CDCA8	289.677864026827	42.4827107299355	984.010025208704
CDH10	2799.66547738669	42.9195709473019	1146.90145635292
CDH3	4327.84263649542	63.7712458080795	355.910705739993
CDH5	90.9819267890322	5340.38503054912	738.150051420943
CDK1	338.715836525581	50.7635961106582	1531.15077088911
CDKL5	177.139751857792	844.896667529606	519.819935855442
CDO1	335.731018083993	44.2401253929307	1313.29592363143
CDRT4	1405.41076015658	60.0720992228732	1202.70385212896
CEBPB	2160.52552974385	8205.00695080443	8087.17598504623
CEBPD	500.839858730522	734.377774787948	5810.61916511725
CELSR1	3385.49525989823	78.5134599691205	3025.06443419631
CENPE	135.764034264708	27.0167345825968	1028.0602713218
CENPF	327.028034527988	42.2252907674415	1578.75703399363
CEP170B	198.031659554471	1145.67967251116	745.403294388522
CHST11	911.77102343784	83.367393798251	116.069740969408
CIT	304.999952585722	28.4896066119049	1261.60718586357
CITED4	37.5182432224076	50.9603329573026	276.877130897137
CKS2	448.629302163551	3045.08759407813	1749.77259706111
CLDN1	9.85907400531503	1218.32083333027	175.760063212609
CLDN3	177.68108834535	249.301752700393	1929.41099294721
CLEC1A	23.5609868958124	930.265405617048	750.174543253908
CMTM7	815.566595299103	39.9296569734826	387.391379261975
CMYA5	115.492290668722	20.8170762407832	497.173320734443
COBLL1	776.905664485133	3195.09855143002	1051.26404930618
COL11A2	755.458106696081	27.9623334209261	103.943360977411
COL12A1	1169.82301360281	19.8722146842325	73.9496552175034
COL16A1	1714.10348847619	23.5487341189181	114.548721289392
COL18A1	19551.2810470542	408.052701071376	3158.41158690426
COL1A1	12385.3258060795	224.767878576791	1457.87614151375
COL1A2	9297.16149056315	455.115741652674	3004.41505795736
COL3A1	5904.90656268006	42.4329588452568	45.3307706121149
COL5A1	7623.16101703204	448.802786238001	2943.99833469935
COL5A2	2403.437174083	122.383930991312	439.811511761878
COL6A3	2920.02378236956	52.4903316488847	298.851982423309
COL6A6	2015.05063525255	34.2674090276853	207.025311563126
CPE	5275.95026624353	77.2129427795751	179.641378877689
CPM	98.4869850048656	2939.05850833773	282.105808130425
CRABP2	1272.10875777231	43.1604871321516	274.390908035578
CREB3L2	707.797644817211	1566.71949094536	1169.23004161024
CREG1	1911.50425097232	391.990891673244	1132.23636134988
CRIP2	14.3485786298978	1080.02836437864	95.9818999348557
CSNK2A2	911.938267689591	1959.73175119547	1980.02998005936
CSRP1	2947.58642993647	835.709865408751	1844.84996782878
CTHRC1	2854.46490392249	20.0842571773682	109.267796243629
CXADR	483.18397139404	28.7876601411798	175.735085478793
CXXC5	1217.33351726849	264.328256663434	772.637083978383
CYBRD1	37.1168185972816	7.61293365844419	317.688029821364
